version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,G22,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Đo starter chưa tối ưu,Starter mơ hồ sẽ chọn sai tool và boundary,case_accuracy,,0.5789,runs/v0_B_base_gemini_20260729T104153439645.json
v1,G22,system_prompt.md + tools.yaml,v1+p9f4e82a18783+t6f21448fe825,9f4e82a18783bd11f297eba056318a9850d7f6f0dcd1d687e9a0f4f19d21e972,6f21448fe825ac88f8e55b97d5c66f23087febac8f57dc430136d3d2b93dd019,Làm rõ routing missing-info timeframe handle và action boundary,Quy tắc cụ thể sẽ tăng routing và argument accuracy,case_accuracy,0.5789,0.9375,runs/v1_B_base_gemini_20260729T110920851068.json
v2,G22,tools.yaml,v2+p9f4e82a18783+t30c233c2a07b,9f4e82a18783bd11f297eba056318a9850d7f6f0dcd1d687e9a0f4f19d21e972,30c233c2a07b1492622ec1f93157e5764f29918516e3057fdc575afb89cb412e,Cô lập core bằng cách bỏ optional declarations không dùng,Ít tool cạnh tranh hơn sẽ giảm routing nhầm,case_accuracy,0.9375,,runs/v2_B_base_gemini_20260729T110229100490.json
v3,G22,system_prompt.md,v3+p963560126cec+t30c233c2a07b,963560126cec4b38e25ccba5e1224773a30863daec7a1ba1807239a904d6aaba,30c233c2a07b1492622ec1f93157e5764f29918516e3057fdc575afb89cb412e,Bắt buộc yes_no ở lượt yêu cầu gửi đầu tiên kể cả nội dung tham chiếu mơ hồ,Quy tắc ưu tiên confirmation sẽ sửa R12 wrong_boundary,case_accuracy,,,PENDING_RERUN_AFTER_QUOTA
